Fees,School,County,Sat2015,Uni2015,Progression,UCD,TCD,DCU,UL,Maynooth,NUIG,UCC,St Angelas,QUB,UU,Blanch.IT,NatColIrl,Dublin.IT,Tallaght.IT,Athlone.IT,Cork.IT,Dundalk.IT,GM.IT,IADT,Carlow.IT,Sligo.IT,Tralee.IT,Letterkenny.IT,Limerick.IT,W.IT,Marino,CoICollEd,MaryI,NCAD,RCSI,SCHM
No,"Mount Mercy College, Model Farm Road, Cork",Cork,133,116,0.872180451,3,1,0,0,0,3,79,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,1,1,0,0,3,1,0,0
No,"Coláiste na Toirbhirte, Ard Aoibhinn, Bandon, Co Cork",Cork,84,73,0.869047619,3,0,2,0,0,1,38,0,0,0,0,0,0,0,0,22,0,0,0,1,0,1,0,1,2,0,1,1,0,0,0
No,"Scoil Mhuire, Clochar na Trocaire, Ceann Toirc, Mala  Co Chorcai",Cork,43,37,0.860465116,2,0,1,3,0,0,10,1,0,0,0,0,0,0,2,4,0,0,0,0,0,6,0,1,1,0,0,4,0,0,2
No,"Glanmire Community College, Brooklodge, Glanmire, Co Cork",Cork,123,104,0.845528455,0,2,0,4,0,0,48,0,0,0,0,1,0,0,1,43,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0
No,"Coláiste Chriost Ri, Bothar Ceapmhaoil, Cathair Chorcai",Cork,93,78,0.838709677,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,48,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
No,"Coláiste De La Salle, Macroom, Co Cork",Cork,66,55,0.833333333,1,1,1,6,0,0,22,0,0,0,0,0,0,0,1,17,0,1,0,0,0,2,0,1,1,0,0,1,0,0,0
No,"Community School, Innishmore, Ballincollig, Co Cork",Cork,119,99,0.831932773,0,1,0,3,0,0,49,0,0,0,0,0,0,0,0,41,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0
No,"Regina Mundi College, Douglas Road, Cork City",Cork,77,64,0.831168831,0,1,0,0,0,0,50,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
No,"Coláiste Mhuire, Realt na Mara, Crosshaven, Corcaigh",Cork,69,57,0.826086957,1,0,0,1,0,0,27,1,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0
No,"Coachford Community College, Coachford, Co. Cork",Cork,107,88,0.822429907,1,0,0,3,1,0,35,1,0,0,0,0,0,0,0,39,1,2,0,0,0,1,0,0,2,0,1,1,0,0,0
No,"Carrigaline Community School, Waterpark Road, Carrigaline, Cork",Cork,140,115,0.821428571,0,0,0,1,0,0,55,0,0,0,0,0,0,0,0,56,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
No,"Bishop McEgan College, Macroom, Co Cork",Cork,28,23,0.821428571,0,0,0,2,0,0,7,2,0,0,0,0,0,0,1,6,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0
No,"Ashton Comprehensive School, Blackrock Road, Cork City",Cork,78,64,0.820512821,3,4,0,2,0,0,30,0,0,0,0,0,1,0,0,21,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
No,"Clochar na Trocaire, Sciobairin, Co Chorcai",Cork,70,57,0.814285714,2,0,0,2,0,0,22,0,0,0,0,0,1,0,0,19,0,0,0,1,0,1,1,0,4,0,0,4,0,0,0
